source,title,price,location,size,listing_type,link
OpenSooq,Residential Land for Sale in Muscat Amerat,"7,000 OMR",", Amerat, 992510XX",,Property for Sale,https://om.opensooq.com/en/search/266235817
OpenSooq,صالون وبوتيك مندمجين للبيع,"11,500 OMR",", Bahla, 998645XX",200 m²,Property for Sale,https://om.opensooq.com/en/search/265708757
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266881777
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Seeb,"24,400 OMR",", Seeb, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266880599
OpenSooq,Residential Land for Sale in Muscat Ansab,"136,000 OMR",", Ansab, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/265196291
OpenSooq,"1, 2 and 3 Bedrooms Luxury Apartments For Sale in Muscat, luxury apartment for sale in mutrah,","85,000 OMR",", Yiti, 784446XX",17354 m²,Property for Sale,https://om.opensooq.com/en/search/266036105
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,"24,400 OMR",", Muscat Hills, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266880789
OpenSooq,58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/266880429
OpenSooq,Residential Land for Sale in Muscat Amerat,"6,900 OMR",", Amerat, 995786XX",,Property for Sale,https://om.opensooq.com/en/search/266718139
OpenSooq,Mixed Use Land for Sale in Muscat Seeb,"500,000 OMR",", Seeb, 955553XX",,Property for Sale,https://om.opensooq.com/en/search/265872495
OpenSooq,"Luxurious 4-Bedroom Villa, Air BNB Approved, Lifetime Residency, Easy Bank Account Setup.","175,000 OMR",", Qurm, 944477XX",159 m²,Property for Sale,https://om.opensooq.com/en/search/260571471
OpenSooq,Residential Land for Sale in Al Batinah Barka,"7,000 OMR",", Barka, 955444XX",,Property for Sale,https://om.opensooq.com/en/search/265647647
